EPOCH,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,NORAD_CAT_ID,SEMIMAJOR_AXIS,OBJECT_TYPE,RCS_SIZE,LAUNCH_DATE
1635704284.0,99.1457,316.9431,301.0743,58.8988,27431,7238.42,PAYLOAD,LARGE,2002.0
1635726806.0,99.0813,321.7263,200.3571,223.6715,27432,7223.456,ROCKET BODY,LARGE,2002.0
1635702170.0,99.0876,313.7168,229.9243,130.0722,27433,7228.86,DEBRIS,LARGE,2002.0
1635711305.0,82.9507,339.1146,294.0958,239.4545,27436,7359.951,PAYLOAD,LARGE,2002.0
1635700270.0,82.9483,323.9233,231.821,127.9093,27437,7354.134,ROCKET BODY,LARGE,2002.0
1635712347.0,98.6422,248.1854,212.7983,147.2506,27453,7186.375,PAYLOAD,LARGE,2002.0
1635752628.0,82.4835,320.8902,355.9427,4.1449,27464,7865.394,PAYLOAD,MEDIUM,2002.0
1635757014.0,82.4821,318.0819,351.9307,8.1352,27465,7864.045,PAYLOAD,MEDIUM,2002.0
1635702461.0,82.4822,323.5924,9.0342,165.0963,27466,7866.364,ROCKET BODY,LARGE,2002.0
1635684865.0,67.9969,253.1233,48.4792,312.1629,27469,6979.35,DEBRIS,SMALL,2000.0
1635726521.0,63.4145,197.6903,353.7405,93.6356,27470,8028.773,PAYLOAD,LARGE,2002.0
1635713534.0,63.4329,347.3262,345.9509,187.3396,27473,8052.734,ROCKET BODY,LARGE,2002.0
1635704954.0,63.4296,336.6113,346.8939,187.1543,27476,8049.948,DEBRIS,LARGE,2002.0
1635646172.0,90.0947,344.5591,310.6572,49.2343,27479,7172.377,DEBRIS,SMALL,1963.0
1635656742.0,98.7172,296.8765,53.6663,318.9765,27482,7238.238,DEBRIS,SMALL,1990.0
1635688697.0,99.0646,67.3805,118.3135,243.9135,27491,7344.02,DEBRIS,SMALL,1998.0
1635497473.0,98.5332,309.9014,176.4245,183.7614,27492,7099.014,DEBRIS,SMALL,1999.0
1635699564.0,98.681,301.8863,236.3152,299.1375,27493,7121.536,DEBRIS,SMALL,1999.0
1635702507.0,63.4481,125.0859,331.9991,36.9955,27494,8011.722,DEBRIS,MEDIUM,2002.0
1635705816.0,97.6799,152.0818,316.1808,43.7807,27530,6806.208,DEBRIS,SMALL,2001.0
1635707660.0,82.9325,138.9472,349.3349,21.3622,27534,7367.884,PAYLOAD,LARGE,2002.0
1635702630.0,82.9288,122.6243,292.9059,77.9575,27535,7361.873,ROCKET BODY,LARGE,2002.0
1635694175.0,98.4382,281.0167,259.0891,274.0085,27536,7100.362,DEBRIS,SMALL,1999.0
1635726331.0,97.7651,308.5329,58.4147,302.1249,27538,6908.576,DEBRIS,SMALL,2001.0
1635706967.0,90.275,328.325,348.7428,186.9236,27545,7666.243,DEBRIS,SMALL,1965.0
1635693331.0,98.0685,86.8154,281.0091,78.8778,27559,7031.092,PAYLOAD,MEDIUM,2002.0
1635735393.0,98.4273,100.0478,200.5566,159.3989,27560,7077.879,PAYLOAD,LARGE,2002.0
1635735581.0,98.4795,104.031,289.2056,70.4277,27561,7084.456,PAYLOAD,LARGE,2002.0
1635711956.0,64.8241,45.7868,356.3651,3.7178,27568,7242.913,DEBRIS,SMALL,1980.0
1635537777.0,64.9627,50.017,83.1277,277.3384,27569,7301.862,DEBRIS,SMALL,1981.0
1635424736.0,64.9627,52.4991,79.9354,280.5298,27570,7301.749,DEBRIS,SMALL,1981.0
1635098747.0,64.9632,76.4648,75.6555,284.8132,27571,7302.553,DEBRIS,SMALL,1981.0
1635583565.0,100.0388,124.2618,71.859,297.139,27574,7580.92,DEBRIS,SMALL,1975.0
1635761946.0,29.1197,56.597,34.3594,33.6517,27575,7388.209,DEBRIS,SMALL,1977.0
1635687401.0,99.5049,170.3088,31.1566,24.4911,27576,7385.46,DEBRIS,SMALL,1975.0
1635702191.0,99.0654,299.5977,316.8622,220.5993,27577,7469.196,DEBRIS,SMALL,1975.0
1635585630.0,99.6893,173.9395,243.2738,238.9208,27578,7369.59,DEBRIS,SMALL,1975.0
1635693245.0,98.2359,275.9589,318.7361,41.0371,27580,7028.795,DEBRIS,SMALL,2001.0
1635686129.0,98.2959,250.4945,130.6152,229.9788,27582,7008.104,DEBRIS,SMALL,2001.0
1635710025.0,97.5538,330.8006,109.1781,251.1025,27583,6879.011,DEBRIS,SMALL,2001.0
1635691483.0,98.1901,258.7335,321.0509,38.63,27585,7022.318,DEBRIS,SMALL,2001.0
1635562430.0,97.3348,287.8056,152.9883,207.3628,27586,6877.548,DEBRIS,SMALL,2001.0
1635703981.0,98.1297,310.4585,91.3908,83.021,27596,7124.969,DEBRIS,SMALL,1986.0
1635731911.0,98.5783,247.7799,27.3985,332.7253,27597,7178.146,PAYLOAD,LARGE,2002.0
1635689146.0,98.6306,247.0754,229.7396,130.307,27598,7174.039,PAYLOAD,MEDIUM,2002.0
1635686244.0,98.5936,246.7429,218.4677,141.5859,27599,7171.388,PAYLOAD,MEDIUM,2002.0
1635731200.0,98.5909,246.6283,214.2278,145.8254,27600,7170.849,PAYLOAD,MEDIUM,2002.0
